ISIN,DocumentType,EffectiveDate,DownloadDate,DownloadUrl,FilePath,MD5Hash,FileSize
DE000A3D7559,verkaufsprospekt,01.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_1_Bona_Futura_01_04_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3D7559\VKP_1_Bona_Futura_01_04_2024.pdf,5bcaca45541a0c28fcedb82e7ca7ea19,1.00 MiB
DE000A3D7559,priips,04.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A3D7559_1040323_DE_DE_2024-04-04_660e95be76df6.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3D7559\PRIIPS_DE000A3D7559_1040323_DE_DE_2024-04-04_660e95be76df6.pdf,db98f9af6ed8f7f8c4d551a19c0cc244,170.56 KiB
DE000A1H44G8,verkaufsprospekt,15.11.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_3ik_Strategiefonds_I_15_11_2023.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A1H44G8\VKP_3ik_Strategiefonds_I_15_11_2023.pdf,1f5fa7ca2ea9c4d2907136048995f9ba,1.15 MiB
DE000A1H44G8,jahresbericht,31.08.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_606_3ik-Strategiefonds_I_Bericht_2023-08-31_Layout_PDF.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A1H44G8\JB_606_3ik-Strategiefonds_I_Bericht_2023-08-31_Layout_PDF.pdf,4e8f882c98d0811bbf10a1129d153025,1.41 MiB
DE000A1H44G8,halbjahresbericht,29.02.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6066_3ik_Strategiefonds_I_Bericht.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A1H44G8\HJB_6066_3ik_Strategiefonds_I_Bericht.pdf,dc25b1bcbd3969ac230b85ae1cff3b9a,713.26 KiB
DE000A1H44G8,priips,24.01.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A1H44G8_1035820_DE_DE_2024-01-24_65a545c9b4621.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A1H44G8\PRIIPS_DE000A1H44G8_1035820_DE_DE_2024-01-24_65a545c9b4621.pdf,f22617c8b865b13f8006ff2f3f85ad52,103.61 KiB
DE000A1H44L8,verkaufsprospekt,15.11.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_3ik_Strategiefonds_III_15_11_2023.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A1H44L8\VKP_3ik_Strategiefonds_III_15_11_2023.pdf,d4621036808a53992781103075fb4426,1.18 MiB
DE000A1H44L8,jahresbericht,31.08.2023,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_6068_3ik-Strategiefonds_III_Bericht_2023-08-31_Layout_PDF.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A1H44L8\JB_6068_3ik-Strategiefonds_III_Bericht_2023-08-31_Layout_PDF.pdf,900b8adb7b1d4ae85ec122df24792b4b,1.26 MiB
DE000A1H44L8,halbjahresbericht,29.02.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6068_3ik_Strategiefonds_III_Bericht.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A1H44L8\HJB_6068_3ik_Strategiefonds_III_Bericht.pdf,ea7d4da79e3ef2b1448f9ddadffed5a6,604.31 KiB
DE000A1H44L8,priips,24.01.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A1H44L8_1035822_DE_DE_2024-01-24_65a545ce71e38.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A1H44L8\PRIIPS_DE000A1H44L8_1035822_DE_DE_2024-01-24_65a545ce71e38.pdf,a0a15697e66ac79cce0ef66a083c94e6,104.00 KiB
